scode,id,speaker,text,wc,analytic,clout,authentic,tone,wps,sixltr,dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,allpunc,period,comma,colon,semic,qmark,exclam,dash,quote,apostro,parenth,otherp,zarticle,zprep,zposemo,zsixltr,zswear,presidentiality,self,zself,znegemo,zmotion,zdiscrep,other,zother,honesty,zhonesty,zppron,zverb,zauxverb,zanx,znegate,zcertain,zcogproc,fem2,zfem2,wc_z,analytic_z,clout_z,authentic_z,tone_z,wps_z,sixltr_z,dic_z,function_z,pronoun_z,ppron_z,i_z,we_z,you_z,shehe_z,they_z,ipron_z,article_z,prep_z,auxverb_z,adverb_z,conj_z,negate_z,verb_z,adj_z,compare_z,interrog_z,number_z,quant_z,affect_z,posemo_z,negemo_z,anx_z,anger_z,sad_z,social_z,family_z,friend_z,female_z,male_z,cogproc_z,insight_z,cause_z,discrep_z,tentat_z,certain_z,differ_z,percept_z,see_z,hear_z,feel_z,bio_z,body_z,health_z,sexual_z,ingest_z,drives_z,affiliation_z,achieve_z,power_z,reward_z,risk_z,focuspast_z,focuspresent_z,focusfuture_z,relativ_z,motion_z,space_z,time_z,work_z,leisure_z,home_z,money_z,relig_z,death_z,informal_z,swear_z,netspeak_z,assent_z,nonflu_z,filler_z,allpunc_z,period_z,comma_z,colon_z,semic_z,qmark_z,exclam_z,dash_z,quote_z,apostro_z,parenth_z,otherp_z
Chauvin,330,Chauvin, you guys alright though? ,4,1,99,74.760002,99,4,25,100,50,25,25,0,0,25,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,25,25,0,0,0,0,50,0,25,0,25,25,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,25,0,0,0,0,25,0,0,0,0,0,0,-.49198288,-.75291371,1.0635302,1.2643472,-.19229415,.89068663,0,-.54825228,-.28397277,-.49780616,-.27290502,25,.74469578,.70531738,.33537903,.68530303,-1.1089975,-.74153131,-.10817815,-.35930678,-.24228893,1.5234964,-.63547599,-.17113508,-.47127488,-1.0603062,1.0388346,.6786648,1.9235005,-.37910107,1.2643472,.66705954,.1381876,.27531004,.68530303,-.54825228,-.25611472,2.1551585,-.37709263,-.17261264,-.45313531,-.49198288,-.75291371,-.74153131,2.6852605,3.9380715,-.35930678,-1.1089975,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,.94204313,1.0635302,-.28397277,-.10817815,-.2038914,-.13232417,1.8371012,-.13333647,7.4010868,-.11498597,1.6993647,1.5234964,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,3.2269177,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,-.66975731,-.32529783,-.17049116,-.41073379,-.40925664,-.15761362,-.33332887,-.95207703,-.32737204,-.78344274,-.49780616,-.65237254,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,.73881471,-.19229415,-.14260407,.83157665,-.16652474,,-.67607337,-.85822326,-.62337428,,,1.7943608,-.26772723,-.13967535,-.28805181,-.54566288,,-.11821821
Chauvin,379,Chauvin, Get belted down. ,3,99,50,98.010002,25.77,3,0,66.669998,33.330002,0,0,0,0,0,0,0,0,0,33.330002,0,0,0,0,33.330002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.669998,0,0,33.330002,33.330002,0,0,33.330002,0,33.330002,0,33.330002,0,0,0,0,0,0,0,0,0,0,0,0,0,33.330002,33.330002,0,0,0,0,0,0,0,0,0,0,-.49198288,2.2415047,-.34840634,-.60931259,-.19229415,.5995087,0,-.54825228,-.28397277,-.49780616,-.27290502,0,-.83109432,-.87047267,-.41391051,-1.0586278,.77905899,-.74153131,-.10817815,-.35930678,-.24228893,-.64449292,-2.6593397,-.71616602,-.57412219,1.3508372,-.33197477,1.2167881,-.39846048,-.66888785,-.60931259,-1.1373153,-.54801995,-1.1506931,-1.0586278,-.54825228,-.25611472,-.5138284,-.37709263,-.17261264,-.45313531,-.49198288,2.2415047,-.74153131,-.53872043,-.42908716,-.35930678,.77905899,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,-.90864164,-.13333647,-.20259151,-.11498597,-.56847328,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,3.6413424,-.32529783,-.17049116,3.3981595,3.5591516,-.15761362,-.33332887,1.1231737,-.32737204,.95729369,-.49780616,2.0994353,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,-.38077044,-.19229415,-.14260407,-.31381112,-.16652474,,-.37020549,.56717938,-.62337428,,,-.38631219,-.26772723,-.13967535,-.28805181,-.54566288,,-.11821821
Chauvin,288,Chauvin, Just leave him. ,3,1,99,1,25.77,3,0,100,66.669998,33.330002,33.330002,0,0,0,33.330002,0,0,0,0,0,33.330002,0,0,33.330002,0,0,0,0,0,0,0,0,0,0,0,33.330002,0,0,0,33.330002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.330002,0,33.330002,33.330002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.330002,33.330002,0,0,0,0,0,0,0,0,0,0,-.49198288,-.75291371,-.34840634,-.60931259,-.19229415,-2.3949096,0,-.54825228,-.28397277,3.0085366,-.27290502,33.330002,1.2697492,-2.2759719,-1.0822266,1.2663809,.77905899,-.74153131,-.10817815,-.35930678,-.24228893,-.64449292,-.33433098,-.090036072,-.57412219,-1.0603062,1.0388346,-1.0285169,-.39846048,-.66888785,-.60931259,.66705954,.82439512,.75045437,1.2663809,-.54825228,-.25611472,-.5138284,3.8003621,-.17261264,-.45313531,-.49198288,-.75291371,-.74153131,3.7594912,-.42908716,-.35930678,.77905899,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,.92167068,-.13333647,-.20259151,-.11498597,2.4550083,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,-.66975731,-.32529783,-.17049116,-.41073379,-.40925664,-.15761362,-.33332887,1.1231737,-.32737204,.95729369,3.0085366,-.65237254,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,-.38077044,-.19229415,-.14260407,-.31381112,-.16652474,,-.37020549,.56717938,-.62337428,,,-.38631219,-.26772723,-.13967535,-.28805181,-.54566288,,-.11821821
Chauvin,268,Chauvin, Your under arrest guy. ,4,93.260002,99,74.760002,25.77,4,0,75,50,25,25,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,-.49198288,1.4931245,-.34840634,-.60931259,-.19229415,-.14887148,0,-.54825228,-.28397277,-.49780616,-.27290502,25,.74469578,.70531738,.33537903,.68530303,-1.1089975,-.74153131,-.10817815,-.35930678,-.24228893,-.64449292,-2.8034654,-.75497943,-.47127488,1.2096131,1.0388346,.6786648,-.39846048,-.37910107,-.60931259,-.68635684,.1381876,.27531004,.68530303,-.54825228,-.25611472,2.1551585,-.37709263,-.17261264,-.45313531,-.49198288,1.4931245,-.74153131,-.53872043,-.42908716,-.35930678,-1.1089975,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,1.8371012,-.13333647,7.4010868,-.11498597,1.6993647,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,.94682437,-.32529783,-.17049116,2.4462218,-.40925664,-.15761362,-.33332887,-.95207703,-.32737204,.5222401,-.49780616,1.4116896,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,-.38077044,-.19229415,-.14260407,-.31381112,-.16652474,,-.67607337,.21093556,-.62337428,,,-.38631219,-.26772723,-.13967535,-.28805181,-.54566288,,-.11821821
Chauvin,370,Chauvin, Let's get him on . ,4,38.599998,99,1,25.77,4,0,100,75,50,50,0,25,0,25,0,0,0,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,25,0,0,50,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,25,0,0,-.49198288,1.4931245,-.34840634,-.60931259,-.19229415,-.14887148,0,-.54825228,-.28397277,-.49780616,-.27290502,25,.74469578,.70531738,.33537903,2.429234,1.7233703,-.74153131,-.10817815,-.35930678,-.24228893,-.64449292,1.7728335,.47742796,-.47127488,-.13521446,1.0388346,-1.0285169,-.39846048,-.37910107,-.60931259,.66705954,1.1672932,1.7013131,2.429234,-.54825228,4.3446789,-.5138284,2.7563117,-.17261264,-.45313531,-.49198288,1.4931245,-.74153131,-.53872043,-.42908716,-.35930678,1.7233703,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,1.8371012,-.13333647,-.20259151,-.11498597,1.6993647,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,2.563406,3.5305226,-.17049116,-.41073379,2.567347,-.15761362,-.33332887,2.1611102,-.32737204,.5222401,-.49780616,1.4116896,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,-.38077044,-.19229415,-.14260407,-.31381112,-.16652474,,.24189726,.21093556,-.62337428,,,-.38631219,-.26772723,-.13967535,-.28805181,1.7946783,,-.11821821
Chauvin,286,Chauvin, Leave him. ,2,1.92,99,1,25.77,2,0,100,50,50,50,0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,-.49198288,-.75291371,-.34840634,-.60931259,-.19229415,-2.3949096,0,-.54825228,-.28397277,4.7622337,-.27290502,50,2.3204858,-2.9789324,-1.416485,2.429234,1.7233703,-.74153131,-.10817815,-.35930678,-.24228893,-.64449292,1.7728335,.47742796,-.67696947,-1.037671,1.0388346,-1.0285169,-.39846048,-.95867467,-.60931259,.66705954,.1381876,1.7013131,2.429234,-.54825228,-.25611472,-.5138284,5.8897157,-.17261264,-.45313531,-.49198288,-.75291371,-.74153131,-.53872043,-.42908716,-.35930678,1.7233703,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,1.8371012,-.13333647,-.20259151,-.11498597,3.9672024,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,-.66975731,-.32529783,-.17049116,-.41073379,-.40925664,-.15761362,-.33332887,2.1611102,-.32737204,1.8279229,4.7622337,-.65237254,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,-.38077044,-.19229415,-.14260407,-.31381112,-.16652474,,.24189726,1.2800944,-.62337428,,,-.38631219,-.26772723,-.13967535,-.28805181,-.54566288,,-.11821821
Chauvin,255,Chauvin," Do you got your ah, restraint, Hobble? ",7,5.8899999,99,1,25.77,7,14.29,85.709999,42.860001,28.57,28.57,0,0,28.57,0,0,0,0,0,14.29,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,14.29,14.29,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,14.29,14.29,0,42.860001,0,28.57,0,0,14.29,0,0,0,0,0,0,-.49198288,-.75291371,-.34840634,.46167135,-.19229415,-1.3239257,0,-.54825228,-.28397277,-.49780616,-.27290502,28.57,.96971858,.93034017,.44237757,.93433636,.50941747,.47174186,-.10817815,-.35930678,-.24228893,-.64449292,.27725613,.074665688,-.16273305,-.93999505,1.0388346,-1.0285169,-.39846048,.49025938,.46167135,-.10655332,-.15572493,.47894326,.93433636,-.54825228,-.25611472,2.5362899,-.37709263,-.17261264,-.45313531,-.49198288,-.75291371,.47174186,-.53872043,-.42908716,-.35930678,.50941747,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,.66027582,-.13333647,-.20259151,-.11498597,-.56847328,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,.25428078,-.32529783,-.17049116,-.41073379,1.29217,-.15761362,1.8843431,-.062328119,-.32737204,-.78344274,-.49780616,-.65237254,-.30837625,-.12430152,2.0983875,-.13107426,-.090578616,-.080620341,-.10565373,.25918442,-.19229415,-.14260407,.34089252,2.8171508,,-.020275125,-.85822326,1.5833559,,,.86016047,-.26772723,-.13967535,-.28805181,-.54566288,,-.11821821
Chauvin,335,Chauvin, Don't come over here. Don't come over here. ,8,1.92,1,99,25.77,4,0,100,75,0,0,0,0,0,0,0,0,0,25,25,25,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,50,0,50,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,25,0,0,-.49198288,1.4931245,-.34840634,-.60931259,-.19229415,-.14887148,0,-.54825228,-.28397277,2.1322138,-.27290502,0,-.83109432,-3.5004926,-1.6644872,-1.0586278,1.7233703,1.38106,-.10817815,1.98922,-.24228893,-.64449292,2.7560897,.74222106,-.059885759,-1.037671,-1.7027841,1.2397016,-.39846048,-.37910107,-.60931259,.66705954,1.1672932,-1.1506931,-1.0586278,-.54825228,-.25611472,-.5138284,-.37709263,-.17261264,-.45313531,-.49198288,1.4931245,1.38106,2.6852605,-.42908716,1.98922,1.7233703,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,-.90864164,-.13333647,-.20259151,-.11498597,-.56847328,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,.94682437,-.32529783,-.17049116,2.4462218,-.40925664,-.15761362,-.33332887,2.1611102,-.32737204,1.8279229,2.1322138,1.4116896,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,-.38077044,-.19229415,-.14260407,-.31381112,-.16652474,,.24189726,.21093556,-.62337428,,,-.38631219,-.26772723,-.13967535,-.28805181,1.7946783,,-.11821821
Chauvin,339,Chauvin," yea, we have an ambulance coming ",6,62.040001,99,23.51,25.77,6,16.67,83.330002,50,16.67,16.67,0,16.67,0,0,0,0,16.67,0,16.67,0,0,0,33.330002,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,16.67,16.67,16.67,16.67,0,0,0,0,0,0,0,0,16.67,0,16.67,16.67,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,1.5310197,-.75291371,-.34840634,.6400438,-.19229415,.87744927,0,-.54825228,-.28397277,1.2558911,-.27290502,0,-.83109432,-2.6241698,-1.2477951,.10422526,.77905899,.67381257,-.10817815,-.35930678,-.24228893,-.64449292,-.081142738,-.021851918,-.26558033,.44149172,1.0388346,-.50752097,-.39846048,.20047256,.6400438,-.23539841,.1381876,-.19983417,.10422526,-.54825228,2.8116944,-.5138284,-.37709263,-.17261264,-.45313531,1.5310197,-.75291371,.67381257,-.53872043,-.42908716,-.35930678,.77905899,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,.0067890501,-.13333647,-.20259151,-.11498597,-.56847328,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,.40817937,2.2457633,-.17049116,-.41073379,-.40925664,-.15761362,-.33332887,.085859597,3.0048316,.08718656,1.2558911,-.65237254,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,.36576894,-.19229415,1.2129418,.44993344,-.16652474,,-.98194116,-.85822326,.66420686,,,-.38631219,-.26772723,-.13967535,-.28805181,-.54566288,,-.11821821
Chauvin,270,Chauvin, So your going to jail. ,5,8.6899996,99,43.369999,25.77,5,0,80,60,20,20,0,0,20,0,0,0,0,20,0,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,-.49198288,1.0439168,-.34840634,-.60931259,-.19229415,-.59807914,0,-.54825228,-.28397277,1.6062098,-.27290502,20,.42953777,-1.7138565,-.81494027,.33651686,.023949632,-.74153131,-.10817815,-.35930678,-.24228893,-.64449292,-2.0193043,-.5438031,-.3684276,-.87110519,1.0388346,-.047859576,-.39846048,-.089314252,-.60931259,-.41567358,.54982984,-.0098905712,.33651686,-.54825228,-.25611472,1.6213611,-.37709263,-.17261264,-.45313531,-.49198288,1.0439168,-.74153131,2.0404644,3.0646398,-.35930678,.023949632,-.23617151,-.22966173,-.26036239,-.20222452,-.21050604,-.42879289,-.34840634,-.28397277,-.10817815,-.2038914,-.13232417,.18965553,-.13333647,-.20259151,-.11498597,-.56847328,-.64449292,-.21876192,-.15113927,-.27290502,-.31862181,-.24228893,-.42697161,-.31742761,-.209484,-.14925112,-.22498767,-.39016688,-.34785593,-.090342402,-.15290184,-.13425042,-.66975731,-.32529783,-.17049116,-.41073379,-.40925664,-.15761362,-.33332887,-.95207703,3.6704726,.26110351,1.6062098,-.65237254,-.30837625,-.12430152,-.079358719,-.13107426,-.090578616,-.080620341,-.10565373,-.38077044,-.19229415,-.14260407,-.31381112,-.16652474,,-.85966748,-.0028962081,-.62337428,,,-.38631219,-.26772723,-.13967535,-.28805181,-.54566288,,-.11821821
